"Year","Quarter","Expenditure"
1950,1,797
1950,2,1088
1950,3,1091
1950,4,1027
1951,1,859
1951,2,1042
1951,3,1036
1951,4,1051
1952,1,947
1952,2,1217
1952,3,1269
1952,4,1186
1953,1,1087
1953,2,1371
1953,3,1305
1953,4,1204
1954,1,1094
1954,2,1252
1954,3,1251
1954,4,1217
1955,1,1100
1955,2,1310
1955,3,1354
1955,4,1241
1956,1,1137
1956,2,1432
1956,3,1358
1956,4,1299
1957,1,1133
1957,2,1501
1957,3,1421
1957,4,1386
1958,1,1117
1958,2,1388
1958,3,1426
1958,4,1262
1959,1,1120
1959,2,1399
1959,3,1373
1959,4,1270
1960,1,1092
1960,2,1467
1960,3,1456
1960,4,1477
1961,1,1248
1961,2,1521
1961,3,1592
1961,4,1490
1962,1,1340
1962,2,1555
1962,3,1493
1962,4,1412
1963,1,1285
1963,2,1608
1963,3,1571
1963,4,1553
1964,1,1418
1964,2,1659
1964,3,1673
1964,4,1541
1965,1,1438
1965,2,1668
1965,3,1708
1965,4,1649
1966,1,1509
1966,2,1684
1966,3,1742
1966,4,1680
1967,1,1503
1967,2,1729
1967,3,1768
1967,4,1835
1968,1,1573
1968,2,1914
1968,3,1894
1968,4,1849
1969,1,1695
1969,2,1933
1969,3,1938
1969,4,1837
1970,1,1726
1970,2,1915
1970,3,1971
1970,4,1950
1971,1,1827
1971,2,2058
1971,3,1971
1971,4,1884
1972,1,1754
1972,2,1979
1972,3,2042
1972,4,1971
1973,1,1909
1973,2,2179
1973,3,2272
1973,4,2144
1974,1,2005
1974,2,2241
1974,3,2355
1974,4,2259
1975,1,2070
1975,2,2300
1975,3,2293
1975,4,2224
1976,1,2052
1976,2,2347
1976,3,2358
1976,4,2277
1977,1,2130
1977,2,2337
1977,3,2345
1977,4,2390
1978,1,2251
1978,2,2516
1978,3,2524
1978,4,2429
1979,1,2257
1979,2,2519
1979,3,2461
1979,4,2394
1980,1,2251
1980,2,2569
1980,3,2592
1980,4,2506
1981,1,2390
1981,2,2630
1981,3,2650
1981,4,2607
1982,1,2467
1982,2,2755
1982,3,2745
1982,4,2725
1983,1,2570
1983,2,2928
1983,3,2851
1983,4,2788
1984,1,2620
1984,2,2920
1984,3,2954
1984,4,2853
1985,1,2765
1985,2,3050
1985,3,3052
1985,4,2938
1986,1,2814
1986,2,3121
1986,3,3104
1986,4,2924
1987,1,2790
1987,2,3068
1987,3,3103
1987,4,3054
1988,1,2927
1988,2,3227
1988,3,3206
1988,4,3188
1989,1,3078
1989,2,3312
1989,3,3368
1989,4,3274
1990,1,3102
1990,2,3440
1990,3,3477
1990,4,3505
1991,1,3390
1991,2,3680
1991,3,3638
1991,4,3621
1992,1,3514
1992,2,3734
1992,3,3705
1992,4,3593
1993,1,3534
1993,2,3861
1993,3,3794
1993,4,3757
1994,1,3588
1994,2,3936
1994,3,3908
1994,4,3796
1995,1,3670
1995,2,3978
1995,3,3919
1995,4,3913
1996,1,3849
1996,2,4110
1996,3,4117
1996,4,3979
1997,1,3767
1997,2,4110
1997,3,4113
1997,4,4127
1998,1,4049
1998,2,4242
1998,3,4298
1998,4,4261
1999,1,4129
1999,2,4439
1999,3,4437
1999,4,4405
2000,1,4236
2000,2,4556
2000,3,4612
2000,4,4546
2001,1,4419
2001,2,4621
2001,3,4666
2001,4,4718
2002,1,4600
2002,2,4921
2002,3,4903
2002,4,4900
2003,1,4739
2003,2,5034
2003,3,4983
2003,4,4847
2004,1,4753
2004,2,4995
2004,3,4991
2004,4,4968
2005,1,4835
2005,2,5197
2005,3,5224
2005,4,5251
2006,1,5073
2006,2,5331
2006,3,5461
2006,4,5401
2007,1,5327
2007,2,5599
2007,3,5560
2007,4,5559
2008,1,5446
2008,2,5699
2008,3,5733
2008,4,5774
2009,1,5642
2009,2,5970
2009,3,5915
2009,4,5905
2010,1,5838
2010,2,6110
2010,3,6094
2010,4,6156
2011,1,5994
2011,2,6310
2011,3,6311
2011,4,6353
2012,1,6235
2012,2,6551
2012,3,6468
2012,4,6473
2013,1,6318
2013,2,6661
2013,3,6580
2013,4,6543
2014,1,6483
2014,2,6753
2014,3,6778
2014,4,6858
2015,1,6774
2015,2,7041
2015,3,7069
2015,4,7059
2016,1,6866
2016,2,7205
2016,3,7262
2016,4,7167
2017,1,7102
2017,2,7428
2017,3,7447
2017,4,7381
2018,1,7308
2018,2,7609
2018,3,7634
2018,4,7592
2019,1,7493
2019,2,7844
2019,3,7860
2019,4,7892
2020,1,7779
2020,2,8149
2020,3,8202
2020,4,8140
